"Dato","Tilsig","Temperatur","Nedbor","Evaporasjon","Snodybde","Avrenning","Vindstyrke","Solstraaling"
2019-06-14,75.76,282.46875,1107.2176,-2993.3828,1.08719583333333,493.4504,5.297025,286.3292125
2019-06-15,74.345,284.747291666667,6.5824,-3319.2774,1.0999,319.9635,6.06102083333333,295.867258333333
2019-06-16,76.321,282.724583333333,8639.6392,-1958.3269,0.877395833333333,1320.8055,5.68775833333333,173.051933333333
2019-06-17,73.086,281.992916666667,7698.7928,-3114.552,1.239775,1590.0415,7.28270833333333,257.938570833333
2019-06-18,78.294,279.578125,4002.1351,-2759.6322,0.8011,817.5186,7.5880125,252.049791666667
2019-06-19,62.963,280.92625,496.2759,-2693.1553,0.807458333333333,273.3097,6.02731666666667,248.212229166667
2019-06-20,56.212,281.410416666667,5994.7428,-1647.6388,1.805625,1272.5257,4.00932916666667,142.608216666667
2019-06-21,62.617,278.066458333333,1891.1028,-1606.2159,9.82338333333333,2866.6649,7.39595,274.527766666667
2019-06-22,48.658,275.056875,2715.4053,-1092.0943,12.5700333333333,2258.634,10.1542125,299.587445833333
2019-06-23,37.111,276.634583333333,3521.8447,-1332.8185,8.45001666666667,1681.6985,7.25444583333333,253.295595833333
2019-06-24,31.462,280.2525,607.1814,-2521.3941,2.82923333333333,619.4804,3.86224583333333,282.846370833333
2019-06-25,44.291,280.508125,6106.589,-1194.5054,0.578566666666667,1054.0207,4.35757083333333,93.9380416666667
2019-06-26,54.966,282.13125,1946.5573,-2701.195,0.158958333333333,345.3308,7.41624583333333,229.501420833333
2019-06-27,53.695,279.8475,419.2087,-2450.7202,0.336991666666667,83.4579,11.1302166666667,231.470345833333
2019-06-28,48.437,282.461041666667,222.7611,-2145.4565,0.298841666666667,59.7183,11.158525,198.737633333333
2019-06-29,60.339,283.885416666667,3072.5654,-2182.8113,0.19075,369.0645,8.18203333333333,187.921904166667
2019-06-30,99.904,282.576458333333,17916.5287,-2130.8306,0,2910.8565,10.62585,153.384
2019-07-01,117.307,278.926041666667,13951.1713,-1479.0408,0.0127166666666667,2109.3006,9.51342916666667,114.722479166667
2019-07-02,74.513,274.5475,8041.0203,-2159.7594,2.76575416666667,138.4686,12.5580291666667,243.651545833333
2019-07-03,46.799,273.6225,5552.8733,-1436.4013,4.49525833333333,180.3635,9.67565,209.033345833333
2019-07-04,36.222,274.278125,7283.468,-1040.0329,7.92861666666667,578.8072,11.0913333333333,261.9854
2019-07-05,29.458,276.420625,290.1759,-955.097,8.53897916666667,1005.4629,6.76012083333333,246.3402875
2019-07-06,28.985,277.971666666667,6987.7302,-1525.5699,3.86567083333333,1246.5812,4.75924166666667,216.026920833333
2019-07-07,33.941,279.608541666667,4664.7171,-1724.6689,2.8992125,1151.6662,3.23247083333333,200.9544625
2019-07-08,32.223,280.3825,174.4965,-2078.7983,0.476854166666667,137.6139,5.44380833333333,194.289733333333
2019-07-09,30.806,281.548125,3148.6976,-2432.2983,0.394204166666667,491.591,3.0253375,231.568783333333
2019-07-10,32.944,284.782291666667,24.2989,-2963.0482,0,7.6492,2.8786,269.498129166667
2019-07-11,36.997,285.680833333333,1169.0058,-2955.2413,0,140.1768,1.8319875,258.9738125
2019-07-12,42.657,286.103958333333,293.9166,-3611.4224,0,35.0097,5.10725416666667,299.851325
2019-07-13,46.898,285.039791666667,0.0456,-3495.1143,0,-0.0456,4.33595,304.8565
2019-07-14,46.893,284.04875,10.303,-2677.1828,0,0.8094,4.6714625,256.036779166667
2019-07-15,44.259,280.42625,1799.669,-1705.8516,0,164.1192,10.7320708333333,144.690125
2019-07-16,41.813,282.700833333333,170.7678,-3012.6947,0,13.6339,4.302625,270.820158333333
2019-07-17,40.21,284.399791666667,337.7631,-2911,0,34.153,2.50209166666667,267.1117875
2019-07-18,42.038,284.900833333333,2668.2393,-2688.0217,0,240.2215,8.17320416666667,228.9863875
2019-07-19,55.592,282.637708333333,15089.3518,-1789.1289,0,1644.1624,6.0137375,133.290575
2019-07-20,49.272,282.452708333333,3967.8159,-2329.2881,0,462.5207,9.26743333333333,179.505925
2019-07-21,107.984,282.775833333333,20816.654,-875.0511,0,2828.3726,5.39864583333333,55.5022625
2019-07-22,84.294,283.652708333333,1606.5577,-2468.4173,0,217.9847,6.07012916666667,193.430529166667
2019-07-23,82.428,285.683541666667,730.5275,-1392.8181,0,89.7308,5.94464166666667,110.7001375
2019-07-24,77.888,289.472916666667,359.2209,-3501.0914,0,51.2539,6.0350125,283.104833333333
2019-07-25,83.583,290.54375,49.4875,-2695.5141,0,7.6492,5.47895833333333,216.737220833333
2019-07-26,77.553,290.569166666667,0.0456,-3742.0582,0,-0.0456,5.93687916666667,298.9736375
2019-07-27,77.535,290.646458333333,0.0456,-3721.5819,0,-0.0456,6.41075416666667,296.225895833333
2019-07-28,75.348,290.495416666667,0.0456,-3732.8496,0,-0.0456,7.53355833333333,295.537183333333
2019-07-29,79.013,289.960833333333,1871.5096,-2856.6924,0,168.3956,4.6684375,236.495854166667
2019-07-30,71.656,284.345,12837.2443,-2269.4038,0,1286.7691,7.295375,155.5938
2019-07-31,64.279,281.048333333333,3100.1866,-1553.5099,0,313.7456,5.05393333333333,99.6801
2019-08-01,51.78,284.51875,364.8101,-2161.2276,0,37.0146,3.74255833333333,192.800525
2019-08-02,52.824,286.037708333333,1.1101,-2565.7173,0,0,3.56945,228.6017875
2019-08-03,48.515,285.911875,1.1101,-3089.8246,0,0,3.16582083333333,271.098629166667
2019-08-04,45.492,286.272916666667,148.5833,-2807.781,0,13.3664,2.15275416666667,256.115325
2019-08-05,44.141,284.880416666667,555.5191,-2538.2991,0,51.409,2.11005416666667,237.4463
2019-08-06,44.254,283.29,5702.5217,-1961.837,0,470.9099,2.97014583333333,194.1784125
2019-08-07,46.141,283.2175,5201.3546,-1867.8222,0,442.1213,3.0210625,158.942091666667
2019-08-08,52.558,282.932916666667,9215.1762,-1959.5965,0,872.9361,3.05567916666667,159.572266666667
2019-08-09,48.53,284.124791666667,1227.4535,-2308.6105,0,115.1563,5.65927083333333,183.676829166667
2019-08-10,57.424,282.6675,6641.6745,-1445.3301,0,650.8379,11.0357125,95.6621875
2019-08-11,57.469,284.355416666667,10875.0423,-1596.0471,0,1187.5556,5.6933,127.3636375
2019-08-12,60.795,282.599791666667,8728.4185,-1476.9617,0,1052.8638,4.10065,110.5872875
2019-08-13,82.975,278.245208333333,21737.855,-720.9781,0.438708333333333,3148.3397,5.69854166666667,36.6462291666667
2019-08-14,61.849,277.463958333333,1419.2724,-1815.9477,0.247975,184.0442,4.73965,172.182054166667
2019-08-15,42.083,279.643958333333,124.1863,-2312.9312,0.095375,21.592,6.78835833333333,214.271725
2019-08-16,45.42,282.235416666667,3896.3071,-2072.8407,0,521.2948,5.6184875,171.339208333333
2019-08-17,66.769,281.27875,10943.7815,-1144.1368,0,1642.03,10.5543416666667,76.7121583333333
2019-08-18,88.867,280.322916666667,1497.995,-2254.5753,0,201.5233,7.45333333333333,197.007958333333
2019-08-19,58.678,279.389375,3943.9872,-1703.1567,0,505.8719,7.03455416666667,160.271416666667
2019-08-20,49.589,279.679791666667,3708.9325,-1421.1133,0,468.8539,6.922125,128.648204166667
2019-08-21,41.398,278.08375,1251.8428,-1531.2904,0,148.058,5.72555833333333,148.7317375
2019-08-22,36.394,277.016458333333,4885.3457,-1022.9447,0,638.5072,6.95884583333333,89.2929041666667
2019-08-23,41.009,279.291041666667,3071.3865,-1152.0582,0,381.4548,6.31818333333333,103.946929166667
2019-08-24,44.06,282.377291666667,4868.731,-1294.3735,0,644.6727,5.78225,105.214591666667
2019-08-25,62.276,284.541041666667,475.686,-1592.0998,0,57.5781,8.13842083333333,148.9467
2019-08-26,54.14,285.710208333333,0,-2407.1858,0,0,5.2066,217.602241666667
2019-08-27,52.213,287.365416666667,7.7635,-2363.739,0,1.0282,5.69004583333333,215.8981625
2019-08-28,53.798,285.19875,708.5316,-1803.2789,0,86.3672,7.73079583333333,166.448591666667
2019-08-29,81.965,283.189166666667,12466.1511,-845.0773,0,1656.4242,6.962175,57.0503
2019-08-30,71.91,280.467708333333,6774.7347,-1259.5682,0,884.2423,9.55041666666667,84.0954375
2019-08-31,117.45,283.906041666667,3297.5599,-1294.6135,0,494.5545,11.9266375,93.0088583333333
2019-09-01,90.416,280.279166666667,11151.0158,-1622.1684,0,1892.6154,9.89966666666667,129.473595833333
2019-09-02,54.871,276.092916666667,2457.5441,-1501.4705,0.966375,228.2114,5.19089166666667,140.290445833333
2019-09-03,40.985,275.804375,4469.7896,-850.6223,3.1280625,258.0585,5.7545625,106.223033333333
2019-09-04,36.104,273.359166666667,14589.0228,-393.0956,4.68594583333333,301.7745,5.65721666666667,56.1086833333333
2019-09-05,44.719,274.063958333333,11071.153,-288.779,10.2938166666667,332.7022,10.0562625,79.1083416666667
2019-09-06,38.428,274.278541666667,3573.6337,-752.9123,5.10570416666667,387.0688,4.6636375,116.612816666667
2019-09-07,32.522,275.839791666667,445.288,-1114.1579,2.384175,167.4295,5.69772083333333,131.144875
2019-09-08,27.328,275.282291666667,-0.0888,-1289.8477,1.0681,50.1236,4.19677916666667,183.030795833333
2019-09-09,23.185,277.6975,30.5627,-825.0902,0.375141666666667,34.135,3.95096666666667,101.746141666667
2019-09-10,21.157,279.590625,2896.3201,-592.5325,0.1526,428.6653,5.40792083333333,56.8751708333333
2019-09-11,34.138,280.106458333333,5217.1536,-607.3966,0.1526,729.3559,9.71032083333333,44.8338208333333
2019-09-12,39.407,276.934166666667,10626.9086,-1048.7649,0.750220833333333,939.3877,10.0642791666667,98.0899
2019-09-13,35.6,273.971041666667,5074.8922,-625.9208,6.8350625,124.7638,13.498625,116.806870833333
2019-09-14,31.764,274.198541666667,22719.0033,-405.1475,11.1967708333333,165.2986,10.9614958333333,75.992175
2019-09-15,45.738,273.88375,29727.4142,-153.3068,28.9739916666667,43.7312,17.0456083333333,107.380241666667
2019-09-16,44.929,271.860208333333,2523.2025,-247.2222,32.9476958333333,0,13.1848208333333,141.225954166667
2019-09-17,33.482,269.738541666667,3344.9455,-204.9962,30.7288166666667,0,12.4173666666667,120.516395833333
2019-09-18,26.48,271.330625,1981.56,-150.2267,37.2522583333333,0,13.3283208333333,133.152475
2019-09-19,21.885,271.221458333333,4136.0521,-234.8582,33.6025875,0,7.4172625,82.7256041666667
2019-09-20,26.018,275.662708333333,966.1429,73.1801,41.1752125,807.1698,15.3367,69.3711166666667
2019-09-21,32.423,277.576041666667,8.673,-142.5937,28.2174666666667,655.7594,11.5516416666667,135.4670125
2019-09-22,32.904,279.006666666667,-0.0888,-212.763,15.2340458333333,582.1808,5.30078333333333,143.3060875
2019-09-23,29.284,277.907916666667,22.8996,-524.3721,6.33924583333333,420.1158,3.3015125,125.770154166667
2019-09-24,26.123,276.766666666667,3.1968,-705.2402,2.22522916666667,154.6108,3.4809125,126.0033875
2019-09-25,23.483,276.071666666667,8.673,-725.9518,2.00905,133.2947,4.7409875,121.4440125
2019-09-26,21.051,275.518125,43.6942,-741.4411,2.52405416666667,147.1677,7.55285416666667,115.961141666667
2019-09-27,19.754,276.52375,6056.3946,-360.0195,1.74840833333333,689.8937,9.18115416666667,30.628325
2019-09-28,19.558,276.868958333333,864.3716,-518.4354,1.04266666666667,184.5097,4.67642916666667,54.9087708333333
2019-09-29,18.778,276.397291666667,3523.3013,-466.1211,0.750220833333333,402.0185,6.13850833333333,47.9413916666667
2019-09-30,18.75,270.487083333333,10225.3297,-360.8676,11.5336,3.2076,13.2088916666667,94.7112625
2019-10-01,16.886,270.967916666667,7035.4714,-139.284,20.0598333333333,0,13.3453666666667,80.7553708333333
2019-10-02,16.687,272.504166666667,1675.2409,-138.9643,12.8051625,39.0634,4.87649166666667,95.3206666666667
2019-10-03,16.046,270.952083333333,2363.4321,-385.0609,6.09756666666667,13.7239,6.6975375,77.6252
2019-10-04,14.925,268.634375,210.7547,-565.5816,1.94551666666667,0,5.07959583333333,97.5743625
2019-10-05,12.481,267.395208333333,0,-339.8151,1.0681,0,2.83269583333333,104.2172625
2019-10-06,10.709,268.888125,0,-298.6926,1.77386666666667,0,2.761,102.296866666667
2019-10-07,9.764,271.275416666667,0,-293.468,1.91372916666667,0,3.828425,99.2193
2019-10-08,9.651,270.610625,2613.4551,-196.9697,4.90223333333333,0,5.98545833333333,41.428425
2019-10-09,8.952,271.66875,1552.6078,-226.9677,3.15349166666667,0,6.3496375,53.0965083333333
2019-10-10,8.316,272.546666666667,3043.2792,-292.0103,2.82927916666667,19.0027,4.806475,70.2531416666667
2019-10-11,7.988,271.543333333333,5309.0567,-177.1723,4.87662916666667,0,4.66900416666667,41.2673041666667
2019-10-12,8.184,272.317916666667,5567.4239,-167.1139,8.723425,7.391,5.08005833333333,49.1187041666667
2019-10-13,8.109,270.726458333333,564.3777,-191.9224,7.96045833333333,0,3.80580416666667,65.176075
2019-10-14,7.323,270.71125,36.9104,-119.7002,7.8714375,0,3.8081875,72.354425
2019-10-15,6.967,271.6275,2272.9376,-108.8597,8.59625,0,6.37244583333333,41.8125
2019-10-16,6.778,273.276875,2600.3462,-121.2994,8.45003333333333,71.7938,6.15572083333333,30.6579083333333
2019-10-17,6.744,273.279791666667,4099.3654,-137.8622,9.91867083333333,59.124,6.05140416666667,41.4831916666667
2019-10-18,7.121,272.265208333333,217.896,-110.4589,9.84875833333333,0,4.0230125,66.3296416666667
2019-10-19,6.676,271.617916666667,627.4731,-123.8941,6.82876666666667,0,5.70164583333333,49.345325
2019-10-20,6.191,271.706666666667,267.9044,-134.4503,6.59987916666667,0,4.6773875,50.0387541666667
2019-10-21,5.561,270.911666666667,452.4591,-130.6118,4.1707625,0,6.78595833333333,27.4795541666667
2019-10-22,5.872,274.2,11083.6215,-121.8684,8.44997083333333,2.1086,12.8563583333333,22.7509541666667
2019-10-23,8.927,275.529791666667,4079.1259,-4.4003,6.8860125,455.0704,7.30815,22.0897458333333
2019-10-24,10.028,274.367083333333,4011.2587,-247.4401,5.0800625,312.5369,7.95727083333333,39.5668375
2019-10-25,18.409,270.753333333333,10116.8339,-110.7078,10.2556583333333,334.7136,9.09470833333333,41.296075
2019-10-26,15.978,265.607708333333,409.5959,-30.524,8.8124375,0,3.85751666666667,51.9094791666667
2019-10-27,12.039,266.285416666667,1893.118,-29.9551,8.08126666666667,0,7.70921739130435,40.7723782608696
2019-10-28,10.169,266.882083333333,756.0738,-50.7121,7.57901666666667,0,9.86217083333333,41.4921083333333
2019-10-29,8.062,267.339791666667,528.6633,-38.8052,6.98136666666667,0,9.99875833333333,34.2905541666667
2019-10-30,7.088,269.688958333333,5787.6892,-64.2181,7.31827916666667,0,10.0851708333333,25.0801916666667
2019-10-31,6.888,270.76875,7204.5475,-48.5439,11.3428208333333,0,8.04807083333333,23.3362916666667
2019-11-01,6.327,267.216666666667,119.6966,-6.7375,9.270225,0.0456,3.111675,32.5900416666667
2019-11-02,5.651,265.019583333333,13.81,13.614,7.31199583333333,0.0456,2.86382083333333,41.98115
2019-11-03,4.132,264.03,63.0128,5.5995,6.90506666666667,0.0456,7.1052125,27.6520916666667
2019-11-04,2.992,260.319791666667,-0.0888,-8.6305,6.38376666666667,0.0456,5.099225,41.9557666666667
2019-11-05,3.623,257.50625,-0.0888,8.2184,6.22475833333333,0.0456,1.800525,38.1999625
2019-11-06,4.959,259.9425,317.5548,-9.5456,7.598075,0.0456,3.8573125,28.9967708333333
2019-11-07,5.044,260.785208333333,250.1974,1.5291,7.687125,0.0456,2.80546666666667,28.9626416666667
2019-11-08,4.484,259.791041666667,208.4778,2.728,7.78243333333333,0.0456,1.46807916666667,27.916775
2019-11-09,4.18,261.265,491.8983,9.1967,7.87780416666667,0.0456,2.2902375,27.9884041666667
2019-11-10,4.175,259.7875,158.1978,9.7329,9.61353333333333,0.0456,2.03922083333333,28.0124
2019-11-11,4.051,258.069166666667,118.6352,7.9025,10.4527458333333,0.0456,5.01752083333333,25.69095
2019-11-12,3.843,263.835833333333,1500.4388,3.7378,11.8451166666667,0.0456,8.3629375,18.7704
2019-11-13,3.843,265.213541666667,414.8965,28.8224,14.9925791666667,0.0456,6.49654166666667,20.55745
2019-11-14,3.802,264.026458333333,21.2975,29.3587,13.8351208333333,0.0456,4.17232916666667,18.5803833333333
2019-11-15,3.76,262.017083333333,38.4079,53.0855,14.152975,0.0456,4.26713333333333,19.8915083333333
2019-11-16,3.76,265.865,990.2975,21.7226,17.4213333333333,0.0456,5.35795,15.385075
2019-11-17,3.843,267.830833333333,906.8584,38.4137,20.4858791666667,0.0456,3.447225,14.8113166666667
2019-11-18,3.746,267.102083333333,12155.842,19.7031,22.654025,0.0456,5.53652083333333,9.22115416666667
2019-11-19,3.528,267.653958333333,6918.512,2.5704,38.6192916666667,0.0456,5.510675,9.75163333333333
2019-11-20,3.376,262.646458333333,8.464,31.8512,39.3696,0.0456,6.05295416666667,17.8516375
2019-11-21,3.556,268.580833333333,1073.6921,36.1104,39.2996291666667,0.0456,6.5522875,13.6757916666667
2019-11-22,3.208,270.682708333333,951.7855,42.6102,36.298625,0.0456,7.97075,12.0277666666667
2019-11-23,3.042,270.216041666667,1474.7602,31.7568,36.5084166666667,0.0456,5.67315833333333,12.8757
2019-11-24,2.983,270.42125,207.4051,32.9555,34.2510541666667,0.0456,5.16782916666667,11.146875
2019-11-25,2.92,269.011666666667,571.0386,21.2807,34.5117416666667,0.0456,3.35284166666667,11.5948083333333
2019-11-26,2.867,268.727708333333,1268.3421,26.5819,33.3863916666667,0.0456,3.36704583333333,11.0509375
2019-11-27,2.823,267.31125,389.2297,29.2007,32.0258166666667,0.0456,5.3239,11.0956041666667
2019-11-28,2.766,264.882083333333,1891.8666,10.4586,31.8605208333333,0.0456,7.3843375,8.37726666666667
2019-11-29,2.659,263.631458333333,2310.045,36.6787,32.8459833333333,0.0456,15.1642333333333,8.47345416666667
2019-11-30,2.803,263.833958333333,1870.487,29.2952,38.0152833333333,0.0456,13.8090791666667,9.8644375
2019-12-01,2.756,265.314583333333,3664.0541,6.7425,41.5058166666667,0,13.0905041666667,7.6646875
2019-12-02,2.709,263.198958333333,1364.5666,22.3637,43.7819333333333,0,11.22045,8.1862625
2019-12-03,2.621,270.829166666667,11086.2105,17.959,50.9984041666667,0,13.577625,6.52235
2019-12-04,3.073,273.293333333333,5726.2108,30.1376,49.4217916666667,0,12.1522708333333,7.451325
2019-12-05,3.319,270.950416666667,25460.0253,-0.401800000000001,58.4120833333333,0,10.9005458333333,3.53545833333333
2019-12-06,3.077,269.349791666667,3473.7886,43.8714,75.2673125,0,6.69150833333333,8.36684166666667
2019-12-07,2.99,266.169583333333,1867.827,23.9929,74.5488708333333,0,10.3024291666667,7.8005625
2019-12-08,2.914,265.570625,8943.2373,6.5206,87.2334625,0,9.5824,4.74560416666667
2019-12-09,2.983,265.215833333333,2893.7982,38.1705,96.2681791666667,0,11.3399791666667,8.53965833333333
2019-12-10,3.029,261.846041666667,7183.8425,2.7818,95.6896666666667,0,12.1865375,5.8586
2019-12-11,3.258,267.025208333333,7476.4004,100.2868,99.5237875,0,11.551475,7.46053333333333
2019-12-12,2.878,266.589166666667,552.3785,83.1844,97.8704166666667,0,11.2063916666667,6.859775
2019-12-13,2.84,265.5425,412.2478,35.8754,100.0642125,0,9.00190416666667,5.86502083333333
2019-12-14,3.3,267.502916666667,1584.4851,32.8765,97.6860708333333,0,10.7227541666667,5.96999166666667
2019-12-15,2.817,267.435208333333,1006.5546,23.9187,99.8162583333333,0,6.1124375,5.45130416666667
2019-12-16,2.707,265.008958333333,433.7245,33.3955,104.8962375,0,5.6725625,5.41813333333333
2019-12-17,2.515,264.65375,587.1582,39.096,108.1959875,0,5.48438333333333,6.37490416666667
2019-12-18,2.397,264.761041666667,350.8779,33.8026,110.033741666667,0,7.74906666666667,5.62055833333333
2019-12-19,2.302,264.992291666667,4935.5142,19.8096,113.975695833333,0,6.71099166666667,3.96540833333333
